Price Date,Open Price,High Price,Low Price,Close Price,Trade Value,Number Of Trades,Traded Quantity
02-08-2021,1627.45,1634.75,1619.2,1631.55,9038450771,123236,5553389
30-07-2021,1610,1623.4,1606.15,1610.5,10058016360,136907,6234257
29-07-2021,1600.1,1620,1600.1,1617,7526375522,144550,4660873
28-07-2021,1605.1,1607.6,1585.5,1605.6,7487050951,110822,4686788
27-07-2021,1605,1609.3,1597.9,1602.55,9446568394,108822,5892859
26-07-2021,1594.1,1611.65,1594.1,1603.9,7366526111,128901,4586710
23-07-2021,1588.55,1598.5,1585.05,1590.45,6653435201,144421,4179719
22-07-2021,1561.4,1592.85,1561.4,1590.2,12415707697,233651,7854575
20-07-2021,1538.3,1557.7,1538,1550.05,7845558519,138422,5069939
19-07-2021,1544.7,1552.9,1537.55,1541.7,8743641779,192818,5669162
16-07-2021,1573.75,1574.65,1549.6,1555.45,9775371404,191620,6265593
15-07-2021,1557.9,1596.85,1556,1580.8,15851201207,248472,10021355
14-07-2021,1554,1582.8,1538.1,1576.9,8856261427,169742,5657716
13-07-2021,1556.4,1556.4,1536.3,1544.95,6874707703,177123,4456160
12-07-2021,1570.55,1578,1533.75,1547.85,7152341637,145234,4588982
09-07-2021,1556,1569.9,1551,1562.9,5368362103,125788,3436594
08-07-2021,1568,1576,1549,1560.75,5189118228,158022,3326813
07-07-2021,1566.05,1570.55,1544.65,1564.6,7485054452,143812,4797120
06-07-2021,1573.7,1586.75,1557.1,1562.2,6441517705,120142,4089574
05-07-2021,1569.15,1585,1561.05,1578.95,6382678903,123094,4058338
02-07-2021,1558.95,1569.45,1542.6,1567.8,8034520020,136155,5166064
01-07-2021,1576.85,1576.85,1559.05,1560.4,7537112361,150925,4814317
30-06-2021,1572.05,1591,1572.05,1580.8,9587562982,167938,6058722
29-06-2021,1561,1573.65,1559.2,1563.05,9252700415,197132,5913567
28-06-2021,1572.9,1580.15,1560.6,1571.8,7884237903,136591,5019178
25-06-2021,1572,1578,1543,1574.2,15307252499,192643,9780240
24-06-2021,1517,1568.75,1511.2,1559.2,16647892220,263797,10785137
23-06-2021,1525,1525,1498.65,1503.15,8340557842,118288,5529809
22-06-2021,1509.7,1521.45,1502.1,1511.85,9709910031,127430,6427862
21-06-2021,1493,1505.8,1484.2,1500.3,8164276798,124524,5454052
18-06-2021,1509,1515.8,1487.4,1503.3,20326029670,240906,13533974
17-06-2021,1475.1,1502.65,1475.1,1495.3,11423116458,229654,7677951
16-06-2021,1472.7,1489.45,1467.5,1480.6,11327444063,162924,7661710
15-06-2021,1464,1476,1463,1473.9,7941636318,141422,5403104
14-06-2021,1471,1477,1453.45,1461.8,10435431661,147667,7132294
11-06-2021,1430.1,1451.6,1429.45,1446.9,8861316924,173378,6140828
10-06-2021,1424,1429,1419,1424.3,4977561087,121283,3496575
09-06-2021,1413.4,1425,1404.6,1415.3,7636846520,137139,5394317
08-06-2021,1396,1421.75,1395.55,1412.95,10396698470,188069,7360630
07-06-2021,1391,1392,1377.3,1389.65,7138486995,127520,5154576
04-06-2021,1393.95,1396.9,1377.65,1385.65,5809075427,109532,4194328
03-06-2021,1388.1,1399,1377.05,1389.65,7089319506,137141,5115645
02-06-2021,1380.75,1391.95,1365,1378.65,12748517787,186335,9272276
01-06-2021,1400,1401,1378.65,1387.2,6635964927,180376,4791325
31-05-2021,1401.5,1401.5,1383,1393.75,6171426113,145671,4429904
28-05-2021,1409.75,1414,1396.1,1405.05,5993259438,106771,4261312
27-05-2021,1404.2,1416.25,1391.7,1402.25,21583297999,250209,15365391
26-05-2021,1367.9,1400,1362.05,1397.25,9500378458,174833,6850024
25-05-2021,1358,1368,1354.45,1361.6,5582984591,129513,4099340
24-05-2021,1356.65,1363,1345.1,1348.05,5714441956,108054,4225371
21-05-2021,1347.5,1357.5,1346.35,1354.5,6717856343,153186,4969733
20-05-2021,1348.4,1349.1,1335,1339.3,6020330291,111007,4490092
19-05-2021,1342,1357.45,1333.25,1337,5963617810,135009,4435878
18-05-2021,1338,1344.6,1329.5,1340,7520081253,135851,5620150
17-05-2021,1320.3,1334.95,1320.3,1329.4,6669458544,118670,5017129
14-05-2021,1326.85,1326.85,1311.3,1316.4,6350387005,180008,4824609
12-05-2021,1330,1330,1314.5,1327,6937427272,143805,5241898
11-05-2021,1336.9,1341,1325.1,1330.65,8539945151,201614,6420988
10-05-2021,1349.85,1352.9,1335.05,1339.55,9649893780,160151,7195348
07-05-2021,1365.3,1373.05,1348.5,1352.55,6774539803,146974,4991435
06-05-2021,1345,1364.7,1337.4,1361.6,6514432065,128184,4810090
05-05-2021,1341.1,1343.9,1327.8,1341.5,5268794240,113183,3939788
04-05-2021,1354,1354.95,1324.1,1329.4,6548565378,158010,4887060
03-05-2021,1340.8,1361,1338,1352.05,6160448677,126788,4560337
30-04-2021,1346.3,1373.9,1345.9,1354.35,11372027785,131718,8354677
29-04-2021,1368,1369,1351.4,1356.35,7361090047,119277,5412357
28-04-2021,1358,1359.5,1344.6,1356,6603777602,137376,4879234
27-04-2021,1346,1353,1340.15,1348.5,4897445224,145974,3636115
26-04-2021,1332.25,1351.3,1321,1343.55,9521361287,130375,7088606
